post_title,post_date,comment_id,comment_parent,comment_author,comment_date,comment_content
"Vitajte na novej komunite!","2016-09-27 13:21:37",138,0,Jany,"2016-10-02 10:52:07","No uvidime, ako to tu bude fungovat, zatial nie je velmi co hodnotit. Drzim palce..."
"Vitajte na novej komunite!","2016-09-27 13:21:37",137,0,cokoladka,"2016-10-01 23:01:54","mne žiadna notifikácia nechodí, kde vôbec má prísť?"
"Vitajte na novej komunite!","2016-09-27 13:21:37",136,134,Emily,"2016-10-01 21:59:02","tak to dufam :D"
"Vitajte na novej komunite!","2016-09-27 13:21:37",135,132,Katula,"2016-10-01 21:44:53","Mne to ideee,som prave zistila :)))"
"Vitajte na novej komunite!","2016-09-27 13:21:37",134,108,evTOM,"2016-10-01 21:37:42","neboj, kým pôjdeš do pôrodnice - príde :)"
"Vitajte na novej komunite!","2016-09-27 13:21:37",133,128,Emily,"2016-10-01 21:25:11","zelena sa paci aj mne, len mi vadi, ze su tu moc velke okienka na komentare a tak tu toho moc nevojde"
"Vitajte na novej komunite!","2016-09-27 13:21:37",132,125,Emily,"2016-10-01 21:23:17","mne chodia notifikacie, len sa na ne neda kliknut, musim ich kopirovat do noveho okna"
"Vitajte na novej komunite!","2016-09-27 13:21:37",131,119,Emily,"2016-10-01 21:22:37","ani notifikacia Ti neprisla? lebo mne zatial chodia"
"Vitajte na novej komunite!","2016-09-27 13:21:37",130,116,Emily,"2016-10-01 21:22:01","ja :D"
"Vitajte na novej komunite!","2016-09-27 13:21:37",129,127,Emily,"2016-10-01 21:21:26","uvidime, ci s tym nieco spravia"
"Vitajte na novej komunite!","2016-09-27 13:21:37",128,0,edit,"2016-10-01 21:16:27","Zatiaľ sa mi páči táto platforma, nejako subjektívne mám taký dojem, že je krajšia.
Zatiaľ neviem čo by bolo potrebné zlepšiť alebo zmeniť, ale množia sa komentáre ohľadne chýbajúcich notifikácií :("
"Vitajte na novej komunite!","2016-09-27 13:21:37",127,113,evTOM,"2016-10-01 21:10:45","no to sa ti nezdá Emily, je to tak..."
"Vitajte na novej komunite!","2016-09-27 13:21:37",126,116,evTOM,"2016-10-01 21:09:22","nooo, dobrý postreh čokoládka, aj mne sa to nepáči, som to chcel skomentovať, no kus som pozabudol, a tak ďakujem, že si to spravila a tak mi to pripomenula :)"
"Vitajte na novej komunite!","2016-09-27 13:21:37",125,0,Katula,"2016-10-01 20:26:27","ouhaaa...toto vyzerá fajn, len ešte mi chvíľu potrvá, kým sa zorientujem. Budete mi posielať notifikácie, že je nová téma alebo že mám komenty???"
"Vitajte na novej komunite!","2016-09-27 13:21:37",124,78,Emily,"2016-10-01 19:35:37","Ajka, vyplnas hlavne cez mobil, ci aj na notebooku? da sa Ti na mobile rovno prekliknut na notifikaciu a hodi Ta to sem? lebo na notebooku si to vzdy musim nakopirovat, aby mi to otvorilo"
"Vitajte na novej komunite!","2016-09-27 13:21:37",123,122,Emily,"2016-10-01 19:34:41","urcite, ina moznost nebude, len si zvyknut :) ale tie okna by mohli dat mensie, nech tu toho vojde viacej, je to take neprehladne, ako ked clovek presiel z wordu 2003 na 2005 ci ako to bolo :D"
"Vitajte na novej komunite!","2016-09-27 13:21:37",122,121,lili,"2016-10-01 19:27:32","už som si všimla. Ale vždy keď sem prídem vidím prvú odpoveď moju. aaale v poho. dá sa zvyknúť."
"Vitajte na novej komunite!","2016-09-27 13:21:37",121,120,Emily,"2016-10-01 19:25:30","odpovede radi podla casu, vlakno sa taha asi podla toho, komu odpovedas, lebo tu sa da odpovedat aj na komentare inych"
"Vitajte na novej komunite!","2016-09-27 13:21:37",120,96,lili,"2016-10-01 19:18:00","aj mne vadia trochu tie veľké okienka na odpovede, užšie by boli lepšie. Radenie odpovedí je nejaké divné..."
"Vitajte na novej komunite!","2016-09-27 13:21:37",119,0,cokoladka,"2016-10-01 17:42:22","no postupne zisťujem, že to je zle........veď napríklad Emily mi odpísala a to som zistila až teraz  úplnou náhodou, keď som rolovala príspevky..vôbec som nevedela, že mi odpísala, takto to nepojde......"
"Vitajte na novej komunite!","2016-09-27 13:21:37",118,117,Emily,"2016-10-01 14:33:30","coko, mas pravdu :D zatial to tu tak vyzera :)"
"Vitajte na novej komunite!","2016-09-27 13:21:37",117,114,cokoladka,"2016-10-01 14:14:59","som myslela, že už toto je voľná téma :-)"
"Vitajte na novej komunite!","2016-09-27 13:21:37",116,0,cokoladka,"2016-10-01 14:12:11","a nepáči sa mi toto tu, že nevidím, kto mi dal like :-("
"Vitajte na novej komunite!","2016-09-27 13:21:37",115,0,janicko771,"2016-10-01 12:06:37","čas ukáže"
"Vitajte na novej komunite!","2016-09-27 13:21:37",114,0,Emily,"2016-10-01 11:39:14","Mna by zaujimalo, ci tu bude aj VOLNA TEMA? :) dakujem :)"
"Vitajte na novej komunite!","2016-09-27 13:21:37",113,112,Emily,"2016-10-01 11:38:43","mne sa zda, ze sa tu vojde menej komentarov na stranku ako na starej"
"Vitajte na novej komunite!","2016-09-27 13:21:37",112,0,Bea,"2016-10-01 11:32:33","No mne sa tu pači oveľa lepšie ako v starej je to tu také modernejšie,krajšie no proste super nemam k tomu čo dodať uvidime ake  temy nas čakaju  :) joj som veľmi spokojná :)"
"Vitajte na novej komunite!","2016-09-27 13:21:37",111,104,Emily,"2016-10-01 10:42:03","no uvidime to my a este asi.. my :D"
